Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2025,6,Miami Grand Prix,Aston Martin,ALO,17.0,15.0,0.0,Aston Martin/Racing Point/Force India
2025,6,Miami Grand Prix,Alpine,GAS,18.0,13.0,0.0,Alpine/Renault
2025,6,Miami Grand Prix,Aston Martin,STR,19.0,16.0,0.0,Aston Martin/Racing Point/Force India
2025,6,Miami Grand Prix,Haas F1 Team,BEA,20.0,19.0,0.0,Haas
2025,7,Emilia Romagna Grand Prix,McLaren,PIA,1.0,3.0,15.0,McLaren
2025,7,Emilia Romagna Grand Prix,Red Bull Racing,VER,2.0,1.0,25.0,Red Bull Racing
2025,7,Emilia Romagna Grand Prix,Mercedes,RUS,3.0,7.0,6.0,Mercedes
2025,7,Emilia Romagna Grand Prix,McLaren,NOR,4.0,2.0,18.0,McLaren
2025,7,Emilia Romagna Grand Prix,Aston Martin,ALO,5.0,11.0,0.0,Aston Martin/Racing Point/Force India
2025,7,Emilia Romagna Grand Prix,Williams,SAI,6.0,8.0,4.0,Williams
2025,7,Emilia Romagna Grand Prix,Williams,ALB,7.0,5.0,10.0,Williams
2025,7,Emilia Romagna Grand Prix,Aston Martin,STR,8.0,15.0,0.0,Aston Martin/Racing Point/Force India
2025,7,Emilia Romagna Grand Prix,Racing Bulls,HAD,9.0,9.0,2.0,RB/AlphaTauri/Toro Rosso
2025,7,Emilia Romagna Grand Prix,Alpine,GAS,10.0,13.0,0.0,Alpine/Renault
2025,7,Emilia Romagna Grand Prix,Ferrari,LEC,11.0,6.0,8.0,Ferrari
2025,7,Emilia Romagna Grand Prix,Ferrari,HAM,12.0,4.0,12.0,Ferrari
2025,7,Emilia Romagna Grand Prix,Mercedes,ANT,13.0,19.0,0.0,Mercedes
2025,7,Emilia Romagna Grand Prix,Kick Sauber,BOR,14.0,18.0,0.0,Sauber/Alfa Romeo
2025,7,Emilia Romagna Grand Prix,Alpine,COL,15.0,16.0,0.0,Alpine/Renault
2025,7,Emilia Romagna Grand Prix,Racing Bulls,LAW,16.0,14.0,0.0,RB/AlphaTauri/Toro Rosso
2025,7,Emilia Romagna Grand Prix,Kick Sauber,HUL,17.0,12.0,0.0,Sauber/Alfa Romeo
2025,7,Emilia Romagna Grand Prix,Haas F1 Team,OCO,18.0,20.0,0.0,Haas
2025,7,Emilia Romagna Grand Prix,Haas F1 Team,BEA,19.0,17.0,0.0,Haas
2025,7,Emilia Romagna Grand Prix,Red Bull Racing,TSU,20.0,10.0,1.0,Red Bull Racing
2025,8,Monaco Grand Prix,McLaren,NOR,1.0,1.0,25.0,McLaren
2025,8,Monaco Grand Prix,Ferrari,LEC,2.0,2.0,18.0,Ferrari
2025,8,Monaco Grand Prix,McLaren,PIA,3.0,3.0,15.0,McLaren
2025,8,Monaco Grand Prix,Ferrari,HAM,4.0,5.0,10.0,Ferrari
2025,8,Monaco Grand Prix,Red Bull Racing,VER,5.0,4.0,12.0,Red Bull Racing
2025,8,Monaco Grand Prix,Racing Bulls,HAD,6.0,6.0,8.0,RB/AlphaTauri/Toro Rosso
2025,8,Monaco Grand Prix,Aston Martin,ALO,7.0,19.0,0.0,Aston Martin/Racing Point/Force India
2025,8,Monaco Grand Prix,Haas F1 Team,OCO,8.0,7.0,6.0,Haas
2025,8,Monaco Grand Prix,Racing Bulls,LAW,9.0,8.0,4.0,RB/AlphaTauri/Toro Rosso
2025,8,Monaco Grand Prix,Williams,ALB,10.0,9.0,2.0,Williams
2025,8,Monaco Grand Prix,Williams,SAI,11.0,10.0,1.0,Williams
2025,8,Monaco Grand Prix,Red Bull Racing,TSU,12.0,17.0,0.0,Red Bull Racing
2025,8,Monaco Grand Prix,Kick Sauber,HUL,13.0,16.0,0.0,Sauber/Alfa Romeo
2025,8,Monaco Grand Prix,Mercedes,RUS,14.0,11.0,0.0,Mercedes
2025,8,Monaco Grand Prix,Mercedes,ANT,15.0,18.0,0.0,Mercedes
2025,8,Monaco Grand Prix,Kick Sauber,BOR,16.0,14.0,0.0,Sauber/Alfa Romeo
2025,8,Monaco Grand Prix,Haas F1 Team,BEA,17.0,12.0,0.0,Haas
2025,8,Monaco Grand Prix,Alpine,GAS,18.0,20.0,0.0,Alpine/Renault
2025,8,Monaco Grand Prix,Aston Martin,STR,19.0,15.0,0.0,Aston Martin/Racing Point/Force India
2025,8,Monaco Grand Prix,Alpine,COL,20.0,13.0,0.0,Alpine/Renault
2025,9,Spanish Grand Prix,McLaren,PIA,1.0,1.0,25.0,McLaren
2025,9,Spanish Grand Prix,McLaren,NOR,2.0,2.0,18.0,McLaren
