Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2018,5,Spanish Grand Prix,Red Bull Racing,RIC,6.0,5.0,10.0,Red Bull Racing
2018,5,Spanish Grand Prix,Haas F1 Team,MAG,7.0,6.0,8.0,Haas
2018,5,Spanish Grand Prix,McLaren,ALO,8.0,8.0,4.0,McLaren
2018,5,Spanish Grand Prix,Renault,SAI,9.0,7.0,6.0,Alpine/Renault
2018,5,Spanish Grand Prix,Haas F1 Team,GRO,10.0,18.0,0.0,Haas
2018,5,Spanish Grand Prix,McLaren,VAN,11.0,15.0,0.0,McLaren
2018,5,Spanish Grand Prix,Toro Rosso,GAS,12.0,19.0,0.0,RB/AlphaTauri/Toro Rosso
2018,5,Spanish Grand Prix,Force India,OCO,13.0,16.0,0.0,Aston Martin/Racing Point/Force India
2018,5,Spanish Grand Prix,Sauber,LEC,14.0,10.0,1.0,Sauber/Alfa Romeo
2018,5,Spanish Grand Prix,Force India,PER,15.0,9.0,2.0,Aston Martin/Racing Point/Force India
2018,5,Spanish Grand Prix,Renault,HUL,16.0,20.0,0.0,Alpine/Renault
2018,5,Spanish Grand Prix,Sauber,ERI,17.0,13.0,0.0,Sauber/Alfa Romeo
2018,5,Spanish Grand Prix,Williams,SIR,18.0,14.0,0.0,Williams
2018,5,Spanish Grand Prix,Williams,STR,19.0,11.0,0.0,Williams
2018,5,Spanish Grand Prix,Toro Rosso,HAR,20.0,12.0,0.0,RB/AlphaTauri/Toro Rosso
2018,6,Monaco Grand Prix,Red Bull Racing,RIC,1.0,1.0,25.0,Red Bull Racing
2018,6,Monaco Grand Prix,Ferrari,VET,2.0,2.0,18.0,Ferrari
2018,6,Monaco Grand Prix,Mercedes,HAM,3.0,3.0,15.0,Mercedes
2018,6,Monaco Grand Prix,Ferrari,RAI,4.0,4.0,12.0,Ferrari
2018,6,Monaco Grand Prix,Mercedes,BOT,5.0,5.0,10.0,Mercedes
2018,6,Monaco Grand Prix,Force India,OCO,6.0,6.0,8.0,Aston Martin/Racing Point/Force India
2018,6,Monaco Grand Prix,McLaren,ALO,7.0,20.0,0.0,McLaren
2018,6,Monaco Grand Prix,Renault,SAI,8.0,10.0,1.0,Alpine/Renault
2018,6,Monaco Grand Prix,Force India,PER,9.0,12.0,0.0,Aston Martin/Racing Point/Force India
2018,6,Monaco Grand Prix,Toro Rosso,GAS,10.0,7.0,6.0,RB/AlphaTauri/Toro Rosso
2018,6,Monaco Grand Prix,Renault,HUL,11.0,8.0,4.0,Alpine/Renault
2018,6,Monaco Grand Prix,McLaren,VAN,12.0,14.0,0.0,McLaren
2018,6,Monaco Grand Prix,Williams,SIR,13.0,16.0,0.0,Williams
2018,6,Monaco Grand Prix,Sauber,LEC,14.0,18.0,0.0,Sauber/Alfa Romeo
2018,6,Monaco Grand Prix,Haas F1 Team,GRO,15.0,15.0,0.0,Haas
2018,6,Monaco Grand Prix,Toro Rosso,HAR,16.0,19.0,0.0,RB/AlphaTauri/Toro Rosso
2018,6,Monaco Grand Prix,Sauber,ERI,17.0,11.0,0.0,Sauber/Alfa Romeo
2018,6,Monaco Grand Prix,Williams,STR,18.0,17.0,0.0,Williams
2018,6,Monaco Grand Prix,Haas F1 Team,MAG,19.0,13.0,0.0,Haas
2018,6,Monaco Grand Prix,Red Bull Racing,VER,20.0,9.0,2.0,Red Bull Racing
2018,7,Canadian Grand Prix,Ferrari,VET,1.0,1.0,25.0,Ferrari
2018,7,Canadian Grand Prix,Mercedes,BOT,2.0,2.0,18.0,Mercedes
2018,7,Canadian Grand Prix,Red Bull Racing,VER,3.0,3.0,15.0,Red Bull Racing
2018,7,Canadian Grand Prix,Mercedes,HAM,4.0,5.0,10.0,Mercedes
2018,7,Canadian Grand Prix,Ferrari,RAI,5.0,6.0,8.0,Ferrari
2018,7,Canadian Grand Prix,Red Bull Racing,RIC,6.0,4.0,12.0,Red Bull Racing
2018,7,Canadian Grand Prix,Renault,HUL,7.0,7.0,6.0,Alpine/Renault
2018,7,Canadian Grand Prix,Force India,OCO,8.0,9.0,2.0,Aston Martin/Racing Point/Force India
2018,7,Canadian Grand Prix,Renault,SAI,9.0,8.0,4.0,Alpine/Renault
2018,7,Canadian Grand Prix,Force India,PER,10.0,14.0,0.0,Aston Martin/Racing Point/Force India
2018,7,Canadian Grand Prix,Haas F1 Team,MAG,11.0,13.0,0.0,Haas
2018,7,Canadian Grand Prix,Toro Rosso,HAR,12.0,19.0,0.0,RB/AlphaTauri/Toro Rosso
2018,7,Canadian Grand Prix,Sauber,LEC,13.0,10.0,1.0,Sauber/Alfa Romeo
2018,7,Canadian Grand Prix,McLaren,ALO,14.0,18.0,0.0,McLaren
2018,7,Canadian Grand Prix,McLaren,VAN,15.0,16.0,0.0,McLaren
2018,7,Canadian Grand Prix,Toro Rosso,GAS,16.0,11.0,0.0,RB/AlphaTauri/Toro Rosso
2018,7,Canadian Grand Prix,Williams,STR,17.0,20.0,0.0,Williams
2018,7,Canadian Grand Prix,Williams,SIR,18.0,17.0,0.0,Williams
2018,7,Canadian Grand Prix,Sauber,ERI,19.0,15.0,0.0,Sauber/Alfa Romeo
2018,7,Canadian Grand Prix,Haas F1 Team,GRO,20.0,12.0,0.0,Haas
2018,8,French Grand Prix,Mercedes,HAM,1.0,1.0,25.0,Mercedes
2018,8,French Grand Prix,Mercedes,BOT,2.0,7.0,6.0,Mercedes
2018,8,French Grand Prix,Ferrari,VET,3.0,5.0,10.0,Ferrari
2018,8,French Grand Prix,Red Bull Racing,VER,4.0,2.0,18.0,Red Bull Racing
2018,8,French Grand Prix,Red Bull Racing,RIC,5.0,4.0,12.0,Red Bull Racing
2018,8,French Grand Prix,Ferrari,RAI,6.0,3.0,15.0,Ferrari
2018,8,French Grand Prix,Renault,SAI,7.0,8.0,4.0,Alpine/Renault
2018,8,French Grand Prix,Sauber,LEC,8.0,10.0,1.0,Sauber/Alfa Romeo
2018,8,French Grand Prix,Haas F1 Team,MAG,9.0,6.0,8.0,Haas
